Text,StrTime,User,MessageType,Sentiment,Confidence,Positive_Prob,Negative_Prob
如果可以,2021-10-14 04:28:43,Matteo,text,2,0.411911,0.73536,0.26464
我想回到去年九月份,2021-10-14 04:28:52,Matteo,text,2,0.943161,0.974423,0.0255774
抽死我,2021-10-14 04:28:57,Matteo,text,0,0.980745,0.00866459,0.991335
哈哈哈哈哈哈哈,2021-10-14 04:33:57,R,text,2,0.974361,0.988462,0.0115377
想不开,2021-10-14 04:34:02,R,text,0,0.834823,0.0743296,0.92567
所以我就做三份访谈,2021-10-14 09:28:15,Matteo,text,2,0.14826,0.616717,0.383283
然后反向编码假装做了十二份,2021-10-14 09:28:53,Matteo,text,0,0.97766,0.010053,0.989947
理论上应该没问题吧,2021-10-14 09:29:03,Matteo,text,0,0.733007,0.120147,0.879853
[旺柴],2021-10-14 09:30:22,R,text,0,0.572422,0.19241,0.80759
要不我也录一份答案,2021-10-14 09:30:34,R,text,0,0.880936,0.0535789,0.946421
然后我再找另一个室友录一份？,2021-10-14 09:30:44,R,text,0,0.962594,0.0168327,0.983167
可以啊,2021-10-14 09:30:45,Matteo,text,2,0.988456,0.994805,0.005195
主要我想弄个扎根,2021-10-14 09:31:02,Matteo,text,2,0.820585,0.919263,0.0807365
三四份就够了,2021-10-14 09:31:48,Matteo,text,2,0.604129,0.821858,0.178142
扎根？,2021-10-14 09:31:49,R,text,0,0.791642,0.0937611,0.906239
就是从访谈内容里面找相同的东西,2021-10-14 09:32:24,Matteo,text,2,0.587719,0.814474,0.185526
然后再把这些东西再归类成一个更抽象的东西,2021-10-14 09:32:54,Matteo,text,0,0.830577,0.0762404,0.92376
弄太多份我就不好造假了,2021-10-14 09:33:29,Matteo,text,0,0.98174,0.00821713,0.991783
噢噢噢,2021-10-14 09:35:03,R,text,2,0.760089,0.89204,0.10796
好的,2021-10-14 09:35:04,R,text,2,0.99834,0.999253,0.000746884
一会儿十点多录给你,2021-10-14 09:35:14,R,text,0,0.701236,0.134444,0.865556
行,2021-10-14 09:36:47,Matteo,text,2,0.853851,0.934233,0.0657671
差点忘了,2021-10-14 11:27:25,R,text,0,0.84949,0.0677297,0.93227
没了,2021-10-14 11:47:11,R,text,0,0.943363,0.0254867,0.974513
我话真多md,2021-10-14 11:47:15,R,text,0,0.980682,0.0086931,0.991307
谢了,2021-10-14 12:19:08,Matteo,text,2,0.931611,0.969225,0.0307749
我整理采访稿的时候发现,2021-10-16 02:06:35,Matteo,text,1,0.330831,0.466542,0.533458
现在辅助可以裸三级辅了,2021-10-16 02:06:54,Matteo,text,2,0.825514,0.921481,0.0785186
是的哈哈哈哈 她应该已经知道了,2021-10-16 02:55:09,R,text,2,0.987645,0.99444,0.00555966
笑死,2021-10-16 02:55:10,R,text,0,0.984829,0.00682684,0.993173
哈哈哈哈哈哈哈哈哈哈哈,2021-10-16 02:55:14,R,text,2,0.824151,0.920868,0.079132
笑死我了,2021-10-16 02:55:47,R,text,0,0.983188,0.00756527,0.992435
经过队友善意的谩骂,2021-10-16 02:56:02,R,text,0,0.650382,0.157328,0.842672
唉我发现我同学话好多,2021-10-16 05:03:55,Matteo,text,0,0.850921,0.0670854,0.932915
有转文字我都有点顶不住,2021-10-16 05:04:08,Matteo,text,2,0.570057,0.806526,0.193474
比我还牛,2021-10-16 05:07:21,R,text,2,0.957653,0.980944,0.0190564
[强],2021-10-16 05:07:28,R,text,2,0.998789,0.999455,0.000545162
