localId,TalkerId,Type,SubType,IsSender,CreateTime,Status,StrContent,StrTime,Remark,NickName,Sender
1275588,6,47,0,1,1628578238,,"<msg><emoji md5=""b780a478cdc0509099cd86388394d560"" type=""2"" len = ""759"" width=""51"" height=""42""></emoji><gameext type=""0"" content=""0"" ></gameext></msg>",2021-08-10 02:50:38,R,R,a33386437
1275589,6,1,0,0,1628578250,,无非就是在宿舍上网课,2021-08-10 02:50:50,Matteo,Matteo,wxid_bw1xnecir2p22
1275590,6,1,0,1,1628578262,,你没回家吗,2021-08-10 02:51:02,R,R,a33386437
1275591,6,1,0,0,1628578277,,刚准备放暑假回家,2021-08-10 02:51:17,Matteo,Matteo,wxid_bw1xnecir2p22
1275592,6,1,0,0,1628578282,,就开学了,2021-08-10 02:51:22,Matteo,Matteo,wxid_bw1xnecir2p22
1275593,6,47,0,0,1628578284,,"<msg><emoji fromusername=""wxid_bw1xnecir2p22"" tousername=""a33386437"" type=""2"" idbuffer=""media:0_0"" md5=""6e50848cd9913a1396c541ba607b8261"" len=""386147"" productid="""" androidmd5=""6e50848cd9913a1396c541ba607b8261"" androidlen=""386147"" s60v3md5=""6e50848cd9913a1396c541ba607b8261"" s60v3len=""386147"" s60v5md5=""6e50848cd9913a1396c541ba607b8261"" s60v5len=""386147"" cdnurl=""http://emoji.qpic.cn/wx_emoji/8WibKh2nkeZRkLeaNqe3k5orrPIaFlakfJsch2g4p561vxH5Car29RzVkCJwBSiaOP/"" designerid="""" thumburl="""" encrypturl=""http://emoji.qpic.cn/wx_emoji/8WibKh2nkeZRkLeaNqe3k5orrPIaFlakfJsch2g4p562KCMAjUkEsoD4q6xJkZa6H/"" aeskey=""5ebcc427613a1008d443832f7fe74532"" externurl=""http://emoji.qpic.cn/wx_emoji/Nb1hVXTn3fOfYUSyEcibQxjN9P6cKCdJly7ELPF8LE6Zu5OplD4cMjDThw6a9h2G6/"" externmd5=""45cf88fb73cc5f9e93f1775c7a55d6cf"" width=""200"" height=""200"" tpurl="""" tpauthkey="""" attachedtext="""" attachedtextcolor="""" lensid="""" emojiattr="""" linkid=""""></emoji></msg>",2021-08-10 02:51:24,Matteo,Matteo,wxid_bw1xnecir2p22
1275594,6,3,0,0,1629240228,,"<?xml version=""1.0""?>
<msg>
	<img aeskey=""b7e1d9eb068df9c1c3b960bdc7258e07"" encryver=""0"" cdnthumbaeskey=""b7e1d9eb068df9c1c3b960bdc7258e07"" cdnthumburl=""307d0201000471306f0201000204d85ec66002032f55f90204970060b40204611c38fb044a617570696d675f616664653631323533636234386661635f313632393233393534353731365f33633138663165642d343330372d343137342d396439312d363934376233323562666633020401190a020201000405004c54a100"" cdnthumblength=""6191"" cdnthumbheight=""69"" cdnthumbwidth=""145"" cdnmidheight=""0"" cdnmidwidth=""0"" cdnhdheight=""0"" cdnhdwidth=""0"" cdnmidimgurl=""307d0201000471306f0201000204d85ec66002032f55f90204970060b40204611c38fb044a617570696d675f616664653631323533636234386661635f313632393233393534353731365f33633138663165642d343330372d343137342d396439312d363934376233323562666633020401190a020201000405004c54a100"" length=""126532"" md5=""24b55086d92f7fe28a9d491a1372ee3b"" hevc_mid_size=""126532"" />
</msg>",2021-08-17 18:43:48,Matteo,Matteo,wxid_bw1xnecir2p22
1275595,6,1,0,0,1629240239,,属实给我整破防了,2021-08-17 18:43:59,Matteo,Matteo,wxid_bw1xnecir2p22
1275596,6,1,0,1,1629250430,,垃圾游戏,2021-08-17 21:33:50,R,R,a33386437
1275597,6,1,0,1,1629250438,,爬,2021-08-17 21:33:58,R,R,a33386437
1275598,6,1,0,0,1633545637,,10号有空吗,2021-10-06 14:40:37,Matteo,Matteo,wxid_bw1xnecir2p22
1275599,6,1,0,0,1633545656,,可能要找你做个线上的访谈,2021-10-06 14:40:56,Matteo,Matteo,wxid_bw1xnecir2p22
